"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal","Descripcio_dia_setmana","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_causa_vianant","Descripcio_tipus_vehicle","Descripcio_model","Descripcio_marca","Descripcio_color","Descripcio_carnet","Antiguitat_carnet","Coordenada_UTM_X_ED50","Coordenada_UTM_Y_ED50","Longitud_WGS84","Latitud_WGS84"
"2023S000536    ",-1,"Desconegut",-1,"Desconegut",-1,"Motors / Acer                                     ",,"Dijous","2023",1,"Gener","26","14","Tarda","No és causa del  vianant","Turisme","ASTRA","OPEL","granate","Desconegut","Desconegut","428118.93 ","4578054.77","2.139637367","41.348935697"
"2023S000506    ",-1,"Desconegut",-1,"Desconegut",-1,"Motors                                            ","152-154   ","Dijous","2023",1,"Gener","26","15","Tarda","No és causa del  vianant","Motocicleta","FSH125","HONDA","Gris","B","11","428888.97 ","4578390.79","2.148801757","41.352030518"
"2023S000506    ",-1,"Desconegut",-1,"Desconegut",-1,,,"Dijous","2023",1,"Gener","26","15","Tarda","No és causa del  vianant","Turisme","XCEED","KIA","Blanc","B","39","428888.97 ","4578390.79","2.148801757","41.352030518"
"2023S001678    ",-1,"Desconegut",-1,"Desconegut",-1,"Corts / Arístides Maillol                         ",,"Dijous","2023",3,"Març","23","14","Tarda","No és causa del  vianant","Autobús","LION'S CITY G","MAN","Vermell","D","17","426626.85 ","4581292.09","2.121411776","41.377958412"
"2023S002486    ",-1,"Desconegut",-1,"Desconegut",-1,"Glòries Catalanes                                 ","1         ","Dijous","2023",4,"Abril","27","20","Tarda","No és causa del  vianant","Autobús articulat","HYBRID H18","SOLARIS","Vermell","E D","26","432052.4  ","4583910.53","2.185995092","41.402018695"
"2023S002486    ",-1,"Desconegut",-1,"Desconegut",-1,,,"Dijous","2023",4,"Abril","27","20","Tarda","No és causa del  vianant","Bicicleta","Desconegut","Desconegut","Verd","Desconegut","Desconegut","432052.4  ","4583910.53","2.185995092","41.402018695"
"2023S002816    ",-1,"Desconegut",-1,"Desconegut",-1,"Motors                                            ","0         ","Dijous","2023",5,"Maig","11","18","Tarda","No és causa del  vianant","Motocicleta","SH 300","HONDA","Negre","A","12","427994.28 ","4577969.06","2.138157684","41.348152595"
"2023S002816    ",-1,"Desconegut",-1,"Desconegut",-1,,,"Dijous","2023",5,"Maig","11","18","Tarda","No és causa del  vianant","Turisme","A4 2.0","AUDI","Negre","B","18","427994.28 ","4577969.06","2.138157684","41.348152595"
"2023S003085    ",-1,"Desconegut",-1,"Desconegut",-1,"Montalegre / Valldonzella                         ",,"Dijous","2023",5,"Maig","25","01","Nit","No és causa del  vianant","Motocicleta","NSS250S","HONDA","Blanc","A","14","430383.18 ","4581978.54","2.166249854","41.384474994"
"2023S002631    ",-1,"Desconegut",-1,"Desconegut",-1,"Roger de Flor / Vilanova                          ",,"Dijous","2023",5,"Maig","4","14","Tarda","No és causa del  vianant","Motocicleta","COMBIZ 125","SYM","Desconegut","A","13","431652.35 ","4582825.28","2.181332195","41.392210236"
"2023S002631    ",-1,"Desconegut",-1,"Desconegut",-1,,,"Dijous","2023",5,"Maig","4","14","Tarda","No és causa del  vianant","Veh. mobilitat personal amb motor","Desconegut","Desconegut","Desconegut","Desconegut","Desconegut","431652.35 ","4582825.28","2.181332195","41.392210236"
"2023S003255    ",-1,"Desconegut",-1,"Desconegut",-1,"Litoral (Llobregat)                               ","K110      ","Dijous","2023",6,"Juny","1","08","Matí","No és causa del  vianant","Motocicleta","Desconegut","Desconegut","Desconegut","Desconegut","Desconegut","431302.28 ","4580803.95","2.17737453","41.373974837"
"2023S003255    ",-1,"Desconegut",-1,"Desconegut",-1,,,"Dijous","2023",6,"Juny","1","08","Matí","No és causa del  vianant","Motocicleta","SH125D","HONDA","Negre","B","17","431302.28 ","4580803.95","2.17737453","41.373974837"
"2023S003255    ",-1,"Desconegut",-1,"Desconegut",-1,,,"Dijous","2023",6,"Juny","1","08","Matí","No és causa del  vianant","Turisme","CAYANNE","PORSCHE","Negre","Desconegut","Desconegut","431302.28 ","4580803.95","2.17737453","41.373974837"
"2023S003916    ",-1,"Desconegut",-1,"Desconegut",-1,"Estatut de Catalunya                              ","15-21     ","Dijous","2023",6,"Juny","29","08","Matí","No és causa del  vianant","Motocicleta","X'PRO 125","SYM","Blanc","B","3","429411.09 ","4587178.85","2.154017831","41.43122751"
"2023S004834    ",-1,"Desconegut",-1,"Desconegut",-1,"B-10 (Llobregat)                                  ","K105      ","Dijous","2023",8,"Agost","10","11","Matí","No és causa del  vianant","Camió rígid <= 3,5 tones","Desconegut","ES DESCONEIX","Desconegut","Desconegut","Desconegut","431520.59 ","4581243.79","2.179935149","41.377954977"
"2023S005719    ",-1,"Desconegut",-1,"Desconegut",-1,"Litoral (Besòs)                                   ","E14       ","Dijous","2023",9,"Setembre","28","14","Tarda","No és causa del  vianant","Furgoneta","TRANSIT CONECT","FORD","Blanc","B","7","429595.67 ","4578423.7 ","2.157245077","41.35238905"
"2023S005719    ",-1,"Desconegut",-1,"Desconegut",-1,,,"Dijous","2023",9,"Setembre","28","14","Tarda","No és causa del  vianant","Turisme","FORESTER","SUBARU","Gris","B","39","429595.67 ","4578423.7 ","2.157245077","41.35238905"
"2023S005738    ",-1,"Desconegut",-1,"Desconegut",-1,"Mare Nostrum                                      ","19-21     ","Dijous","2023",9,"Setembre","28","16","Tarda","No és causa del  vianant","Veh. mobilitat personal amb motor","Desconegut","Desconegut","Desconegut","Desconegut","Desconegut","432340    ","4580256.04","2.189843778","41.369127902"
"2023S005306    ",-1,"Desconegut",-1,"Desconegut",-1,"Estatut de Catalunya / Jorge Manrique             ",,"Dijous","2023",9,"Setembre","7","13","Matí","No és causa del  vianant","Ciclomotor","JET 14 50","SYM","Desconegut","AM","16","429391.4  ","4587227.22","2.153776539","41.431661427"
"2023S005306    ",-1,"Desconegut",-1,"Desconegut",-1,,,"Dijous","2023",9,"Setembre","7","13","Matí","No és causa del  vianant","Turisme","320I MAN","BMW","Desconegut","B","12","429391.4  ","4587227.22","2.153776539","41.431661427"
