df_incidents,df_incidents_type,df_incidents_vehicle,df_incidents_person,df_incidents_cause,df_incidents_driver
expedient,expedient,expedient,expedient,expedient,expedient
districte,districte,districte,districte,districte,districte
barri,barri,barri,barri,barri,barri
carrer,carrer,carrer,carrer,carrer,carrer
dia_nom,dia_nom,dia_nom,dia_nom,dia_nom,dia_nom
any,any,any,any,any,any
mes,mes,mes,mes,mes,mes
dia,dia,dia,dia,dia,dia
hora,hora,hora,hora,hora,hora
long,long,long,long,long,long
lat,lat,lat,lat,lat,lat
causa_vianant,,causa_vianant,causa_vianant,,
,,,,causa,
,,,,,causa_conductor
,tipus_accident,,,,
,,tipus_vehicle,tipus_vehicle,,
,,carnet,,,
,,carnet_anys,,,
,,,sexe,,
,,,edat,,
,,,tipus_persona,,
,,,lloc,,
,,,motiu_desp_vianant,,
,,,motiu_desp_conductor,,
,,,victimitzacio,,
victimes,,,,,
morts,,,,,
lleus,,,,,
greus,,,,,
num_vehicles,,,,,
